City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Description
96,Bandarbeyla,9.4942,50.8122,83.98,60,100,overcast clouds
97,Biak,-0.9131,122.8766,80.13,82,53,broken clouds
98,Arraial Do Cabo,-22.9661,-42.0278,68.5,57,37,scattered clouds
99,Hithadhoo,-0.6,73.0833,82.47,73,1,clear sky
100,Piotrkow Trybunalski,51.4055,19.7032,67.1,66,84,broken clouds
101,Huttwil,47.115,7.8621,62.01,75,2,clear sky
102,Pangnirtung,66.1451,-65.7125,42.49,89,65,broken clouds
103,Iskitim,54.6366,83.3045,81.93,36,80,broken clouds
104,Barcelos,41.5388,-8.6151,65.91,98,25,scattered clouds
105,Ulladulla,-35.35,150.4667,62.28,58,100,light rain
106,New London,41.4834,-72.0662,73.81,79,100,overcast clouds
107,Antalaha,-14.9003,50.2788,74.03,65,43,scattered clouds
108,Dunmore Town,25.5,-76.65,82.85,71,0,clear sky
109,Boyolangu,-8.1181,111.8935,81.9,76,63,broken clouds
110,Asau,46.4333,26.4,61.72,65,11,few clouds
111,Pacific Grove,36.6177,-121.9166,64.54,87,1,clear sky
112,Yellowknife,62.456,-114.3525,55.92,58,75,broken clouds
113,La Ronge,55.1001,-105.2842,62.82,72,0,clear sky
114,Cabo San Lucas,22.8909,-109.9124,85.51,82,86,overcast clouds
115,Suntar,62.1444,117.6319,74.66,42,48,scattered clouds
116,Hasaki,35.7333,140.8333,93.29,80,60,broken clouds
117,San Patricio,28.017,-97.5169,84.83,72,52,broken clouds
118,Bathsheba,13.2167,-59.5167,83.01,83,75,broken clouds
119,Munirabad,15.3333,76.3333,79.59,72,100,overcast clouds
120,Upernavik,72.7868,-56.1549,39.52,90,100,overcast clouds
121,Touros,-5.1989,-35.4608,72.82,90,50,scattered clouds
122,Kollam,8.8833,76.6,81.73,76,96,overcast clouds
123,Jumla,29.2747,82.1838,72.93,65,100,overcast clouds
124,Zharkent,44.1628,80.0,86.47,30,33,scattered clouds
125,Rabo De Peixe,37.8,-25.5833,69.28,76,20,few clouds
126,Saint-Pierre,-21.3393,55.4781,72.28,60,20,few clouds
127,Nikolskoye,59.7035,30.7861,67.87,57,95,overcast clouds
128,Kapaa,22.0752,-159.319,79.12,82,75,broken clouds
129,Yuza,39.0,139.9167,87.85,83,83,light rain
130,Dikson,73.5069,80.5464,42.44,90,100,overcast clouds
131,Alyangula,-13.8483,136.4192,78.49,70,68,broken clouds
132,Requena,39.4883,-1.1004,65.79,46,0,clear sky
133,Iqaluit,63.7506,-68.5145,42.53,81,20,few clouds
134,Leua,48.2156,18.6071,66.49,49,90,overcast clouds
135,Harper,4.375,-7.7169,74.82,84,81,broken clouds
136,Adrar,20.5022,-10.0711,87.13,37,27,scattered clouds
137,Soe,-9.8607,124.284,81.39,46,34,scattered clouds
